"","site_param","siteid","parameter","value"
"1","5972201_100C_fr2013_nh4n_s","5972201_100C_fr2013","nh4n_s",102.08
"2","5972203_300C_fr2013_nh4n_s","5972203_300C_fr2013","nh4n_s",111.12
"3","5972203_300N_fr2013_nh4n_s","5972203_300N_fr2013","nh4n_s",79.09
"4","5972203_300S_fr2013_nh4n_s","5972203_300S_fr2013","nh4n_s",12.09
"5","5972205_500C_fr2013_nh4n_s","5972205_500C_fr2013","nh4n_s",74.72
"6","5972205_500N_fr2013_nh4n_s","5972205_500N_fr2013","nh4n_s",101.98
"7","5972205_500S_fr2013_nh4n_s","5972205_500S_fr2013","nh4n_s",53.83
"8","5972251_100C_fr2013_nh4n_s","5972251_100C_fr2013","nh4n_s",27.4
"9","5972251_100L_fr2013_nh4n_s","5972251_100L_fr2013","nh4n_s",1.45
"10","5972251_100R_fr2013_nh4n_s","5972251_100R_fr2013","nh4n_s",7.09
"11","5972253_300C_fr2013_nh4n_s","5972253_300C_fr2013","nh4n_s",26.84
"12","5972253_300L_fr2013_nh4n_s","5972253_300L_fr2013","nh4n_s",0.89
"13","5972253_300R_fr2013_nh4n_s","5972253_300R_fr2013","nh4n_s",9.44
"14","5972255_500C_fr2013_nh4n_s","5972255_500C_fr2013","nh4n_s",32.64
"15","5972255_500L_fr2013_nh4n_s","5972255_500L_fr2013","nh4n_s",30.41
"16","5972255_500R_fr2013_nh4n_s","5972255_500R_fr2013","nh4n_s",2.08
"17","5972281_100C_fr2013_nh4n_s","5972281_100C_fr2013","nh4n_s",5.46
"18","5972281_100L_fr2013_nh4n_s","5972281_100L_fr2013","nh4n_s",20.84
"19","5972281_100R_fr2013_nh4n_s","5972281_100R_fr2013","nh4n_s",8.06
"20","5972283_300C_fr2013_nh4n_s","5972283_300C_fr2013","nh4n_s",7.99
"21","5972283_300L_fr2013_nh4n_s","5972283_300L_fr2013","nh4n_s",4.46
"22","5972283_300R_fr2013_nh4n_s","5972283_300R_fr2013","nh4n_s",2.15
"23","5972285_500C_fr2013_nh4n_s","5972285_500C_fr2013","nh4n_s",6.24
"24","5972285_500L_fr2013_nh4n_s","5972285_500L_fr2013","nh4n_s",20.28
"25","5972285_500R_fr2013_nh4n_s","5972285_500R_fr2013","nh4n_s",16.81
"26","5972301_100C_fr2013_nh4n_s","5972301_100C_fr2013","nh4n_s",4.5
"27","5972301_100L_fr2013_nh4n_s","5972301_100L_fr2013","nh4n_s",5.8
"28","5972301_100R_fr2013_nh4n_s","5972301_100R_fr2013","nh4n_s",4.56
"29","5972303_300C_fr2013_nh4n_s","5972303_300C_fr2013","nh4n_s",0.73
"30","5972303_300L_fr2013_nh4n_s","5972303_300L_fr2013","nh4n_s",2.46
"31","5972303_300R_fr2013_nh4n_s","5972303_300R_fr2013","nh4n_s",2.36
"32","5972305_500C_fr2013_nh4n_s","5972305_500C_fr2013","nh4n_s",11.3
"33","5972305_500L_fr2013_nh4n_s","5972305_500L_fr2013","nh4n_s",0.84
"34","5972305_500R_fr2013_nh4n_s","5972305_500R_fr2013","nh4n_s",3.67
"35","5972331_100C_fr2013_nh4n_s","5972331_100C_fr2013","nh4n_s",143.59
"36","5972331_100N_fr2013_nh4n_s","5972331_100N_fr2013","nh4n_s",38.64
"37","5972331_100S_fr2013_nh4n_s","5972331_100S_fr2013","nh4n_s",81.65
"38","5972333_300C_fr2013_nh4n_s","5972333_300C_fr2013","nh4n_s",26.57
"39","5972333_300N_fr2013_nh4n_s","5972333_300N_fr2013","nh4n_s",43.36
"40","5972333_300S_fr2013_nh4n_s","5972333_300S_fr2013","nh4n_s",52.24
"41","5972335_500C_fr2013_nh4n_s","5972335_500C_fr2013","nh4n_s",53.49
"42","5972335_500N_fr2013_nh4n_s","5972335_500N_fr2013","nh4n_s",93.55
"43","5972335_500S_fr2013_nh4n_s","5972335_500S_fr2013","nh4n_s",36.82
"44","5972343_300C_fr2013_nh4n_s","5972343_300C_fr2013","nh4n_s",2.68
"45","5972343_300L_fr2013_nh4n_s","5972343_300L_fr2013","nh4n_s",2.92
"46","5972343_300R_fr2013_nh4n_s","5972343_300R_fr2013","nh4n_s",9.29
"47","5972345_500C_fr2013_nh4n_s","5972345_500C_fr2013","nh4n_s",5.62
"48","5972345_500L_fr2013_nh4n_s","5972345_500L_fr2013","nh4n_s",7.86
"49","5972345_500R_fr2013_nh4n_s","5972345_500R_fr2013","nh4n_s",6.86
"50","5972351_100C_fr2013_nh4n_s","5972351_100C_fr2013","nh4n_s",99.1
"51","5972351_100L_fr2013_nh4n_s","5972351_100L_fr2013","nh4n_s",42.2
"52","5972351_100R_fr2013_nh4n_s","5972351_100R_fr2013","nh4n_s",90.1
"53","5972353_300C_fr2013_nh4n_s","5972353_300C_fr2013","nh4n_s",1.41
"54","5972353_300L_fr2013_nh4n_s","5972353_300L_fr2013","nh4n_s",33.99
"55","5972353_300R_fr2013_nh4n_s","5972353_300R_fr2013","nh4n_s",5.21
"56","5972355_500C_fr2013_nh4n_s","5972355_500C_fr2013","nh4n_s",4.03
"57","5972355_500L_fr2013_nh4n_s","5972355_500L_fr2013","nh4n_s",52.93
"58","5972355_500R_fr2013_nh4n_s","5972355_500R_fr2013","nh4n_s",1.36
"59","5972361_100L_fr2013_nh4n_s","5972361_100L_fr2013","nh4n_s",57.31
"60","5972361_100R_fr2013_nh4n_s","5972361_100R_fr2013","nh4n_s",35.94
"61","5972363_300C_fr2013_nh4n_s","5972363_300C_fr2013","nh4n_s",110
"62","5972363_300L_fr2013_nh4n_s","5972363_300L_fr2013","nh4n_s",27.7
"63","5972363_300R_fr2013_nh4n_s","5972363_300R_fr2013","nh4n_s",186.83
"64","5972365_500C_fr2013_nh4n_s","5972365_500C_fr2013","nh4n_s",48.11
"65","5972365_500L_fr2013_nh4n_s","5972365_500L_fr2013","nh4n_s",86.85
"66","5972365_500R_fr2013_nh4n_s","5972365_500R_fr2013","nh4n_s",106.71
"67","5972381_100C_fr2013_nh4n_s","5972381_100C_fr2013","nh4n_s",22.62
"68","5972381_100L_fr2013_nh4n_s","5972381_100L_fr2013","nh4n_s",1.92
"69","5972381_100R_fr2013_nh4n_s","5972381_100R_fr2013","nh4n_s",6.56
"70","5972383_300C_fr2013_nh4n_s","5972383_300C_fr2013","nh4n_s",2.08
"71","5972383_300L_fr2013_nh4n_s","5972383_300L_fr2013","nh4n_s",10.53
"72","5972383_300R_fr2013_nh4n_s","5972383_300R_fr2013","nh4n_s",2.87
"73","5972385_500C_fr2013_nh4n_s","5972385_500C_fr2013","nh4n_s",2.5
"74","5972385_500L_fr2013_nh4n_s","5972385_500L_fr2013","nh4n_s",1.88
"75","5972385_500R_fr2013_nh4n_s","5972385_500R_fr2013","nh4n_s",2.47
"76","5972391_100C_fr2013_nh4n_s","5972391_100C_fr2013","nh4n_s",12.86
"77","5972393_300C_fr2013_nh4n_s","5972393_300C_fr2013","nh4n_s",3.91
"78","5972395_500C_fr2013_nh4n_s","5972395_500C_fr2013","nh4n_s",14.68
"79","5971930_100C_fr2015_nh4n_s","5971930_100C_fr2015","nh4n_s",3.215
"80","5971930_100L_fr2015_nh4n_s","5971930_100L_fr2015","nh4n_s",9.722
"81","5971930_100R_fr2015_nh4n_s","5971930_100R_fr2015","nh4n_s",0.089
"82","5971930_300C_fr2015_nh4n_s","5971930_300C_fr2015","nh4n_s",0.529
"83","5971930_300L_fr2015_nh4n_s","5971930_300L_fr2015","nh4n_s",0.227
"84","5971930_300R_fr2015_nh4n_s","5971930_300R_fr2015","nh4n_s",5.885
"85","5971930_500C_fr2015_nh4n_s","5971930_500C_fr2015","nh4n_s",0.191
"86","5971930_500L_fr2015_nh4n_s","5971930_500L_fr2015","nh4n_s",34.107
"87","5971930_500R_fr2015_nh4n_s","5971930_500R_fr2015","nh4n_s",2.721
"88","5971932_100C_fr2015_nh4n_s","5971932_100C_fr2015","nh4n_s",41.448
"89","5971932_100L_fr2015_nh4n_s","5971932_100L_fr2015","nh4n_s",14.642
"90","5971932_100R_fr2015_nh4n_s","5971932_100R_fr2015","nh4n_s",21.807
"91","5971932_300C_fr2015_nh4n_s","5971932_300C_fr2015","nh4n_s",31.83
"92","5971932_300L_fr2015_nh4n_s","5971932_300L_fr2015","nh4n_s",15.997
"93","5971932_300R_fr2015_nh4n_s","5971932_300R_fr2015","nh4n_s",10.225
"94","5971932_500C_fr2015_nh4n_s","5971932_500C_fr2015","nh4n_s",20.139
"95","5971932_500L_fr2015_nh4n_s","5971932_500L_fr2015","nh4n_s",22.081
"96","5971932_500R_fr2015_nh4n_s","5971932_500R_fr2015","nh4n_s",11.3
"97","5971934_100C_fr2015_nh4n_s","5971934_100C_fr2015","nh4n_s",11.923
"98","5971934_100R_fr2015_nh4n_s","5971934_100R_fr2015","nh4n_s",19.018
"99","5971934_300C_fr2015_nh4n_s","5971934_300C_fr2015","nh4n_s",10.253
"100","5971934_300L_fr2015_nh4n_s","5971934_300L_fr2015","nh4n_s",12.103
"101","5971934_300R_fr2015_nh4n_s","5971934_300R_fr2015","nh4n_s",10.448
"102","5971934_500C_fr2015_nh4n_s","5971934_500C_fr2015","nh4n_s",9.935
"103","5971934_500L_fr2015_nh4n_s","5971934_500L_fr2015","nh4n_s",17.426
"104","5971934_500R_fr2015_nh4n_s","5971934_500R_fr2015","nh4n_s",4.66
"105","5971961_100C_fr2015_nh4n_s","5971961_100C_fr2015","nh4n_s",0.418
"106","5971961_100L_fr2015_nh4n_s","5971961_100L_fr2015","nh4n_s",0.608
"107","5971961_100R_fr2015_nh4n_s","5971961_100R_fr2015","nh4n_s",0.949
"108","5971963_300C_fr2015_nh4n_s","5971963_300C_fr2015","nh4n_s",0.971
"109","5971963_300L_fr2015_nh4n_s","5971963_300L_fr2015","nh4n_s",0.093
"110","5971963_300R_fr2015_nh4n_s","5971963_300R_fr2015","nh4n_s",0.168
"111","5971965_500C_fr2015_nh4n_s","5971965_500C_fr2015","nh4n_s",0.318
"112","5971965_500L_fr2015_nh4n_s","5971965_500L_fr2015","nh4n_s",0.263
"113","5971965_500R_fr2015_nh4n_s","5971965_500R_fr2015","nh4n_s",0.295
"114","5971971_100C_fr2015_nh4n_s","5971971_100C_fr2015","nh4n_s",0.913
"115","5971971_100L_fr2015_nh4n_s","5971971_100L_fr2015","nh4n_s",1.775
"116","5971971_100R_fr2015_nh4n_s","5971971_100R_fr2015","nh4n_s",1.242
"117","5971973_300C_fr2015_nh4n_s","5971973_300C_fr2015","nh4n_s",2.101
"118","5971973_300L_fr2015_nh4n_s","5971973_300L_fr2015","nh4n_s",2.047
"119","5971973_300R_fr2015_nh4n_s","5971973_300R_fr2015","nh4n_s",3.434
"120","5971975_500C_fr2015_nh4n_s","5971975_500C_fr2015","nh4n_s",1.246
"121","5971975_500L_fr2015_nh4n_s","5971975_500L_fr2015","nh4n_s",1.402
"122","5971975_500R_fr2015_nh4n_s","5971975_500R_fr2015","nh4n_s",3.356
"123","5971981_100C_fr2015_nh4n_s","5971981_100C_fr2015","nh4n_s",4.649
"124","5971981_100L_fr2015_nh4n_s","5971981_100L_fr2015","nh4n_s",8.705
"125","5971981_100R_fr2015_nh4n_s","5971981_100R_fr2015","nh4n_s",2.297
"126","5971983_300C_fr2015_nh4n_s","5971983_300C_fr2015","nh4n_s",0.751
"127","5971983_300L_fr2015_nh4n_s","5971983_300L_fr2015","nh4n_s",1.8
"128","5971983_300R_fr2015_nh4n_s","5971983_300R_fr2015","nh4n_s",0.84
"129","5971985_500C_fr2015_nh4n_s","5971985_500C_fr2015","nh4n_s",1.09
"130","5971985_500L_fr2015_nh4n_s","5971985_500L_fr2015","nh4n_s",1
"131","5971985_500R_fr2015_nh4n_s","5971985_500R_fr2015","nh4n_s",0.468
"132","5971991_100C_fr2015_nh4n_s","5971991_100C_fr2015","nh4n_s",0.61
"133","5971991_100L_fr2015_nh4n_s","5971991_100L_fr2015","nh4n_s",0.068
"134","5971991_100R_fr2015_nh4n_s","5971991_100R_fr2015","nh4n_s",1.413
"135","5971993_300C_fr2015_nh4n_s","5971993_300C_fr2015","nh4n_s",0.261
"136","5971993_300L_fr2015_nh4n_s","5971993_300L_fr2015","nh4n_s",2.069
"137","5971993_300R_fr2015_nh4n_s","5971993_300R_fr2015","nh4n_s",0.271
"138","5971995_500C_fr2015_nh4n_s","5971995_500C_fr2015","nh4n_s",0.724
"139","5971995_500L_fr2015_nh4n_s","5971995_500L_fr2015","nh4n_s",1.06
"140","5971995_500R_fr2015_nh4n_s","5971995_500R_fr2015","nh4n_s",0.364
"141","5972001_100C_fr2015_nh4n_s","5972001_100C_fr2015","nh4n_s",10.296
"142","5972001_100L_fr2015_nh4n_s","5972001_100L_fr2015","nh4n_s",0.537
"143","5972001_100R_fr2015_nh4n_s","5972001_100R_fr2015","nh4n_s",0.393
"144","5972003_300C_fr2015_nh4n_s","5972003_300C_fr2015","nh4n_s",22.328
"145","5972003_300L_fr2015_nh4n_s","5972003_300L_fr2015","nh4n_s",3.419
