,parameter,definition,units,lrl,mdl,method,bottle,category,label
1,alk,Alkalinity-Total,mg/l,4,2,3230B,chemistry,genchem,Alkalinity-Total
2,cl,Chloride,mg/l,3.5,0.44,325.2,chemistry,genchem,Chloride
3,ec25_lab,"Conductivity, in lab",umhos/cm,2,0.083,120.1,chemistry,genchem,Conductivity
4,so4,Sulfate,mg/l,20,9.04,375.2,chemistry,genchem,Sulfate
5,tds,Total Dissolved Solids,mg/l,20,11.7,160.1,chemistry,genchem,Total Dissolved Solids
6,tss,Total Suspended Solids,mg/l,4,1.488,160.2,chemistry,genchem,Total Suspended Solids
7,tvs,Total Volatile Solids,mg/l,4,2.27,160.4,chemistry,genchem,Total Volatile Solids
8,turbidity,Turbidity,NTU,1,0.0153,180.1,chemistry,genchem,Turbidity
9,alk_co3x,Alkalinity-Calcium Carbonate,mg/l,4,3.88,2320B,chemistry,NA,Alkalinity-Calcium Carbonate
10,alk_co3,Alkalinity-Carbonate,mg/l,0.001,0.001,2320B,chemistry,NA,Alkalinity-Carbonate
11,alk_hco3,Alkalinity-Bicarbonate,mg/l,0.001,0.001,2320B,chemistry,NA,Alkalinity-Bicarbonate
12,alk_carb,Alkalinity-Carbonate,mg/l,0.001,0.001,2320B,chemistry,NA,Alkalinity-Carbonate
13,alk_oh,Alkalinity-Hydroxide,mg/l,0.001,0.001,2320B,chemistry,NA,Alkalinity-Hydroxide
14,alk_co2,Alkalinity-Free Carbon Dioxide,mg/l,0.001,0.001,2320B,chemistry,NA,Alkalinity-Free Carbon Dioxide
15,h2s,Sulfide,mg/l,0.1,0.045,376.2,sulfide,genchem,Sulfide
16,cbod,Biological Oxygen Demand,mg/l,3,2.376,5210B,bod,nuts,Biological Oxygen Demand
17,nh4_t,"Ammonia as Nitrogen, Non-filtered",mg/l,0.05,0.017,350.1,total nutrients,nuts,Ammonia-N
18,no3_t,"Nitrate + Nitrite as Nitrogen, Non-filtered",mg/l,0.1,0.025,353.2,total nutrients,nuts,Nitrate + Nitrite-N
19,tn_t,"Total Nitrogen, Non-filtered",mg/l,0.2,0.185,LACHAT,total nutrients,nuts,Total Nitrogen
20,toc,"Total Organic Carbon, Non-filtered",mg/l,0.5,0.03,5310B,total nutrients,nuts,Total Organic Carbon
21,po4_t,"Total Phosphate, Non-filtered",mg/l,0.003,0.0028,356.1,total nutrients,nuts,Phosphate
22,hg_t,"Mercury (Hg), Non-filtered",ug/l,0.2,0.1,245.1,total metals,toxic,Mercury
23,ag_t,"Silver (Ag), Non-filtered",ug/l,0.5,0.25,200.8,total metals,toxic,Silver
24,al_t,"Aluminum (Al), Non-filtered",ug/l,10,5,200.8,total metals,toxic,Aluminum
25,as_t,"Arsenic (As), Non-filtered",ug/l,1,0.5,200.8,total metals,toxic,Arsenic
26,ba_t,"Barium (Ba), Non-filtered",ug/l,10,5,200.8,total metals,toxic,Barium
27,be_t,"Beryllium (Be), Non-filtered",ug/l,1,0.5,200.8,total metals,toxic,Beryllium
28,cd_t,"Cadmium (Cd), Non-filtered",ug/l,0.1,0.05,200.8,total metals,toxic,Cadmium
29,cr_t,"Chromium (Cr), Non-filtered",ug/l,2,1,200.8,total metals,toxic,Chromium
30,cu_t,"Copper (Cu), Non-filtered",ug/l,1,0.5,200.8,total metals,toxic,Copper
31,mn_t,"Manganese (Mn), Non-filtered",ug/l,5,2.5,200.8,total metals,toxic,Manganese
32,ni_t,"Nickel (Ni), Non-filtered",ug/l,5,2.5,200.8,total metals,toxic,Nickel
33,pb_t,"Lead (Pb), Non-filtered",ug/l,0.1,0.05,200.8,total metals,toxic,Lead
34,se_t,"Selenium (Se), Non-filtered",ug/l,1,0.5,200.8,total metals,toxic,Selenium
35,zn_t,"Zinc (Zn), Non-filtered",ug/l,10,5,200.8,total metals,toxic,Zinc
36,b_t,"Boron (B), Non-filtered",ug/l,30,15,200.8,total metals,toxic,Boron
37,ca_t,"Calcium (Ca), Non-filtered",mg/l,1,0.5,200.8,total metals,toxic,Calcium
38,fe_t,"Iron (Fe), Non-filtered",ug/l,30,15,200.8,total metals,toxic,Iron
