"","site_param","siteid","parameter","value","flag"
"1","4920420_2011-132_spur2011_cbod","4920420_2011-132_spur2011","cbod",1.5,"mdl"
"2","4920420_2011-132_spur2011_cd_d","4920420_2011-132_spur2011","cd_d",0.05,"mdl"
"3","4920420_2011-132_spur2011_cr_d","4920420_2011-132_spur2011","cr_d",1,"mdl"
"4","4920420_2011-132_spur2011_fe_d","4920420_2011-132_spur2011","fe_d",10,"mdl"
"5","4920420_2011-132_spur2011_mn_d","4920420_2011-132_spur2011","mn_d",2.5,"mdl"
"6","4920420_2011-132_spur2011_ni_d","4920420_2011-132_spur2011","ni_d",2.5,"mdl"
"7","4920420_2011-132_spur2011_pb_d","4920420_2011-132_spur2011","pb_d",0.05,"mdl"
"8","4920420_2011-143_spur2011_cbod","4920420_2011-143_spur2011","cbod",1.5,"mdl"
"9","4920420_2011-143_spur2011_cd_d","4920420_2011-143_spur2011","cd_d",0.05,"mdl"
"10","4920420_2011-143_spur2011_fe_d","4920420_2011-143_spur2011","fe_d",10,"mdl"
"11","4920420_2011-143_spur2011_mn_d","4920420_2011-143_spur2011","mn_d",2.5,"mdl"
"12","4920420_2011-143_spur2011_ni_d","4920420_2011-143_spur2011","ni_d",2.5,"mdl"
"13","4920420_2011-143_spur2011_pb_d","4920420_2011-143_spur2011","pb_d",0.05,"mdl"
"14","4920420_2011-160_spur2011_cd_d","4920420_2011-160_spur2011","cd_d",0.05,"mdl"
"15","4920420_2011-160_spur2011_cr_d","4920420_2011-160_spur2011","cr_d",1,"mdl"
"16","4920420_2011-160_spur2011_fe_d","4920420_2011-160_spur2011","fe_d",10,"mdl"
"17","4920420_2011-160_spur2011_mn_d","4920420_2011-160_spur2011","mn_d",2.5,"mdl"
"18","4920420_2011-160_spur2011_ni_d","4920420_2011-160_spur2011","ni_d",2.5,"mdl"
"19","4920420_2011-160_spur2011_pb_d","4920420_2011-160_spur2011","pb_d",0.05,"mdl"
"20","4920420_2011-173_spur2011_cbod","4920420_2011-173_spur2011","cbod",1.5,"mdl"
"21","4920420_2011-173_spur2011_cd_d","4920420_2011-173_spur2011","cd_d",0.05,"mdl"
"22","4920420_2011-173_spur2011_cr_d","4920420_2011-173_spur2011","cr_d",1,"mdl"
"23","4920420_2011-173_spur2011_fe_d","4920420_2011-173_spur2011","fe_d",10,"mdl"
"24","4920420_2011-173_spur2011_mn_d","4920420_2011-173_spur2011","mn_d",2.5,"mdl"
"25","4920420_2011-173_spur2011_ni_d","4920420_2011-173_spur2011","ni_d",2.5,"mdl"
"26","4920420_2011-173_spur2011_pb_d","4920420_2011-173_spur2011","pb_d",0.05,"mdl"
"27","4920420_2011-186_spur2011_cbod","4920420_2011-186_spur2011","cbod",1.5,"mdl"
"28","4920420_2011-186_spur2011_cd_d","4920420_2011-186_spur2011","cd_d",0.05,"mdl"
"29","4920420_2011-186_spur2011_cr_d","4920420_2011-186_spur2011","cr_d",1,"mdl"
"30","4920420_2011-186_spur2011_fe_d","4920420_2011-186_spur2011","fe_d",10,"mdl"
"31","4920420_2011-186_spur2011_ni_d","4920420_2011-186_spur2011","ni_d",2.5,"mdl"
"32","4920420_2011-186_spur2011_pb_d","4920420_2011-186_spur2011","pb_d",0.05,"mdl"
"33","4920420_2011-230_spur2011_al_d","4920420_2011-230_spur2011","al_d",5,"mdl"
"34","4920420_2011-230_spur2011_cr_d","4920420_2011-230_spur2011","cr_d",1,"mdl"
"35","4920420_2011-230_spur2011_fe_d","4920420_2011-230_spur2011","fe_d",10,"mdl"
"36","4920420_2011-230_spur2011_mn_d","4920420_2011-230_spur2011","mn_d",2.5,"mdl"
"37","4920420_2011-230_spur2011_nh4_t","4920420_2011-230_spur2011","nh4_t",0.0125,"mdl"
"38","4920420_2011-230_spur2011_ni_d","4920420_2011-230_spur2011","ni_d",2.5,"mdl"
"39","4920420_2011-230_spur2011_no3_t","4920420_2011-230_spur2011","no3_t",0.0045,"mdl"
"40","4920420_2011-230_spur2011_so4","4920420_2011-230_spur2011","so4",0,"mdl"
"41","4920420_2011-255_spur2011_al_d","4920420_2011-255_spur2011","al_d",5,"mdl"
"42","4920420_2011-255_spur2011_cbod","4920420_2011-255_spur2011","cbod",1.5,"mdl"
"43","4920420_2011-255_spur2011_cd_d","4920420_2011-255_spur2011","cd_d",0.05,"mdl"
"44","4920420_2011-255_spur2011_cr_d","4920420_2011-255_spur2011","cr_d",1,"mdl"
"45","4920420_2011-255_spur2011_fe_d","4920420_2011-255_spur2011","fe_d",10,"mdl"
"46","4920420_2011-255_spur2011_mn_d","4920420_2011-255_spur2011","mn_d",2.5,"mdl"
"47","4920420_2011-255_spur2011_nh4_t","4920420_2011-255_spur2011","nh4_t",0.0125,"mdl"
"48","4920420_2011-255_spur2011_ni_d","4920420_2011-255_spur2011","ni_d",2.5,"mdl"
"49","4920420_2011-255_spur2011_no3_d","4920420_2011-255_spur2011","no3_d",0.0045,"mdl"
"50","4920420_2011-255_spur2011_no3_t","4920420_2011-255_spur2011","no3_t",0.0045,"mdl"
"51","4920420_2011-255_spur2011_pb_d","4920420_2011-255_spur2011","pb_d",0.05,"mdl"
"52","4920420_2011-292_spur2011_al_d","4920420_2011-292_spur2011","al_d",5,"mdl"
"53","4920420_2011-292_spur2011_cbod","4920420_2011-292_spur2011","cbod",1.5,"mdl"
"54","4920420_2011-292_spur2011_cr_d","4920420_2011-292_spur2011","cr_d",1,"mdl"
"55","4920420_2011-292_spur2011_fe_d","4920420_2011-292_spur2011","fe_d",10,"mdl"
"56","4920420_2011-292_spur2011_nh4_t","4920420_2011-292_spur2011","nh4_t",0.0125,"mdl"
"57","4920420_2011-292_spur2011_ni_d","4920420_2011-292_spur2011","ni_d",2.5,"mdl"
"58","4920420_2011-292_spur2011_no3_d","4920420_2011-292_spur2011","no3_d",0.0045,"mdl"
"59","4920420_2011-292_spur2011_no3_t","4920420_2011-292_spur2011","no3_t",0.0045,"mdl"
"60","4920420_2012-143_spur2011_al_d","4920420_2012-143_spur2011","al_d",5,"mdl"
"61","4920420_2012-143_spur2011_cbod","4920420_2012-143_spur2011","cbod",1.5,"mdl"
"62","4920420_2012-143_spur2011_cd_d","4920420_2012-143_spur2011","cd_d",0.05,"mdl"
"63","4920420_2012-143_spur2011_cr_d","4920420_2012-143_spur2011","cr_d",1,"mdl"
"64","4920420_2012-143_spur2011_fe_d","4920420_2012-143_spur2011","fe_d",1070,"outlier"
"65","4920420_2012-143_spur2011_ni_d","4920420_2012-143_spur2011","ni_d",2.5,"mdl"
