"","taxon","level","itis_code","feed_group","species","genus","subfamily","family","suborder","order","subclass","class","phylum","group","taxon_code"
"1","Erpobdella","ge",69444,"Predator","NA","Erpobdella","Erpobdellinae","Erpobdellidae","Arhynchobdellida","Hirudinida","Lumbriculata","Clitellata","Annelida","leech",1
"2","Erpobdellidae","fa",69438,"Predator","NA","NA","NA","Erpobdellidae","Arhynchobdellida","Hirudinida","Lumbriculata","Clitellata","Annelida","leech",1
"3","Glossiphoniidae","fa",69357,"Predator","NA","NA","NA","Glossiphoniidae","Rhynchobdellida","Hirudinida","Lumbriculata","Clitellata","Annelida","leech",3
"4","Helobdella","ge",69396,"Predator","NA","Helobdella","Haementeriinae","Glossiphoniidae","Rhynchobdellida","Hirudinida","Lumbriculata","Clitellata","Annelida","leech",3
"5","Helobdella_stagnalis","sp",69398,"Predator","stagnalis","Helobdella","Haementeriinae","Glossiphoniidae","Rhynchobdellida","Hirudinida","Lumbriculata","Clitellata","Annelida","leech",3
"6","Clitellata","cl",568832,"Gatherer-Collector","NA","NA","NA","NA","NA","NA","NA","Clitellata","Annelida","worm",5
"7","Naididae","fa",68854,"Gatherer-Collector","NA","NA","NA","Naididae","NA","Tubificida","Tubificata","Clitellata","Annelida","tuficid_worm",5
"8","Collembola","or",99237,"Gatherer-Collector","NA","NA","NA","NA","NA","Collembola","NA","Collembola","Arthropoda","springtail",94
"9","Arrenurus","ge",82864,"Predator","NA","Arrenurus","NA","Arrenuridae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",2115
"10","Hydrodroma","ge",83225,"Predator","NA","Hydrodroma","NA","Hydrodromidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",NA
"11","Hygrobatidae","fa",83281,"Predator","NA","NA","NA","Hygrobatidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",NA
"12","Lebertia","ge",83034,"Predator","NA","Lebertia","NA","Lebertiidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",63
"13","Limnesia","ge",83051,"Predator","NA","Limnesia","NA","Limnesiidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",NA
"14","Trombidiformes","or",82769,"Predator","NA","NA","NA","NA","NA","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",7
"15","Oxus","ge",83244,"Predator","NA","Oxus","NA","Oxidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",2154
"16","Pionidae","fa",83330,"Predator","NA","NA","NA","Pionidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",2155
"17","Sperchon","ge",83006,"Predator","NA","Sperchon","NA","Sperchontidae","Prostigmata","Trombidiformes","Arachnida","Euchelicerata","Arthropoda","mite",67
"18","Chrysomelidae","fa",114509,"Gatherer-Collector","NA","NA","NA","Chrysomelidae","Polyphaga","Coleoptera","Pterygota","Insecta","Arthropoda","leaf_beetle",84
"19","Agabus","ge",111966,"Predator","NA","Agabus","Agabinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",16
"20","Dytiscidae","fa",111963,"Predator","NA","NA","NA","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",46
"21","Hydroporus","ge",112390,"Predator","NA","Hydroporus","Hydroporinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",NA
"22","Hygrotus","ge",112200,"Predator","NA","Hygrotus","Hydroporinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",21
"23","Laccophilus","ge",112278,"Predator","NA","Laccophilus","Laccophilinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",23
"24","Laccophilus_maculosus","sp",112279,"Predator","maculosus","Laccophilus","Laccophilinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",23
"25","Liodessus_obscurellus","sp",728347,"Predator","obscurellus","Liodessus","Hydroporinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",2180
"26","Oreodytes","ge",112314,"Predator","NA","Oreodytes","Hydroporinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",24
"27","Rhantus_binotatus","sp",112089,"Predator","binotatus","Rhantus","Colymbetinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",28
"28","Stictotarsus","ge",568826,"Predator","NA","Stictotarsus","Hydroporinae","Dytiscidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","diving_beetle",30
"29","Dubiraphia","ge",114126,"Shredder","NA","Dubiraphia","Elminae","Elmidae","Polyphaga","Coleoptera","Pterygota","Insecta","Arthropoda","riffle_beetle",34
"30","Microcylloepus_pusillus","sp",114147,"Gatherer-Collector","pusillus","Microcylloepus","Elminae","Elmidae","Polyphaga","Coleoptera","Pterygota","Insecta","Arthropoda","riffle_beetle",847
"31","Gyrinus","ge",112654,"Predator","NA","Gyrinus","Gyrininae","Gyrinidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","aquat_beetle",50
"32","Haliplidae","fa",111857,"Multiple","NA","NA","NA","Haliplidae","Adephaga","Coleoptera","Pterygota","Insecta","Arthropoda","aquat_beetle",149
