"","siteid","mlid","project","date","name","latitude","longitude","ecoregion","huc8","huc_name","wet_type","sysclass","agg_by"
"1","5972200_0C_fr2013",5972200,"fr2013",2013-07-10,"NDSD",41.083,-112.11961,"13  Central Basin and Range",16020102,"Lower Weber","PEM1/USA","PEM","5972201_100C_fr2013"
"2","5972201_100C_fr2013",5972201,"fr2013",2013-07-10,"NDSD",41.082,-112.1202161,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"3","5972201_100N_fr2013",5972201,"fr2013",2013-07-10,"NDSD",41.082,-112.1202161,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"4","5972201_100S_fr2013",5972201,"fr2013",2013-07-10,"NDSD",41.082,-112.1202161,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"5","5972203_300C_fr2013",5972203,"fr2013",2013-07-10,"NDSD",41.08044,-112.12125,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"6","5972203_300N_fr2013",5972203,"fr2013",2013-07-10,"NDSD",41.08044,-112.12125,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"7","5972203_300S_fr2013",5972203,"fr2013",2013-07-10,"NDSD",41.08044,-112.12125,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"8","5972205_500C_fr2013",5972205,"fr2013",2013-07-10,"NDSD",41.08014,-112.1231,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"9","5972205_500N_fr2013",5972205,"fr2013",2013-07-10,"NDSD",41.08014,-112.1231,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"10","5972205_500S_fr2013",5972205,"fr2013",2013-07-10,"NDSD",41.08014,-112.1231,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972201_100C_fr2013"
"11","5972250_0C_fr2013",5972250,"fr2013",2013-08-07,"BRMBR-2D",41.43527,-112.30295,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"12","5972251_100C_fr2013",5972251,"fr2013",2013-08-07,"BRMBR-2D",41.43481,-112.30395,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"13","5972251_100L_fr2013",5972251,"fr2013",2013-08-07,"BRMBR-2D",41.43481,-112.30395,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"14","5972251_100R_fr2013",5972251,"fr2013",2013-08-07,"BRMBR-2D",41.43481,-112.30395,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"15","5972253_300C_fr2013",5972253,"fr2013",2013-08-07,"BRMBR-2D",41.43389,-112.30595,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"16","5972253_300L_fr2013",5972253,"fr2013",2013-08-07,"BRMBR-2D",41.43389,-112.30595,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"17","5972253_300R_fr2013",5972253,"fr2013",2013-08-07,"BRMBR-2D",41.43389,-112.30595,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"18","5972255_500C_fr2013",5972255,"fr2013",2013-08-07,"BRMBR-2D",41.43311,-112.30802,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"19","5972255_500L_fr2013",5972255,"fr2013",2013-08-07,"BRMBR-2D",41.43311,-112.30802,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"20","5972255_500R_fr2013",5972255,"fr2013",2013-08-07,"BRMBR-2D",41.43311,-112.30802,"13  Central Basin and Range",16010204,"Lower Bear-Malad","PEM5C","PEM","5972251_100C_fr2013"
"21","5972280_0C_fr2013",5972280,"fr2013",2013-07-24,"HCBD",41.36548,-112.14576,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972281_100C_fr2013"
"22","5972281_100C_fr2013",5972281,"fr2013",2013-07-24,"HCBD",41.3668,-112.14581,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972281_100C_fr2013"
"23","5972281_100L_fr2013",5972281,"fr2013",2013-07-24,"HCBD",41.3668,-112.14581,"13  Central Basin and Range",16020102,"Lower Weber","PEM5C","PEM","5972281_100C_fr2013"
